seed,token_id,Q1_pass,Q1_truth,Q1_recovered,Q2_pass,Q2_truth,Q2_recovered,Q3_pass,Q3_recovered,Q4_pass,Q4_truth,Q4_recovered,Q5_pass,Q5_recovered,Q6_pass,Q6_truth_validator,Q6_recovered_validator,all_six_pass
20260504,3,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260505,4,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260506,5,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260507,6,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260508,7,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260509,8,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260510,9,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260511,10,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260512,11,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260513,12,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,True,0,0,True,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
